300143673	https://www.eeo.cn/s/a/?cid=300143673	王晓顺 数学的在线课堂	Teacher: 166****7618	试讲
300143865	https://www.eeo.cn/s/a/?cid=300143865	Dream's official	Teacher: Daniel13719473663	Dan15
300143869	https://www.eeo.cn/s/a/?cid=300143869	杨金陈的在线课堂	Teacher: 12391429*****.com	周五晚上宏志 A 班提交作业
300143877	https://www.eeo.cn/s/a/?cid=300143877	Dream's official	Teacher: Daniel13719473663	Dan16
300143885	https://www.eeo.cn/s/a/?cid=300143885	杨晗的在线课堂	Teacher: 180****3387	26春3B宏志A
300143887	https://www.eeo.cn/s/a/?cid=300143887	Dream's official	Teacher: Daniel13719473663	Dan17
300143889	https://www.eeo.cn/s/a/?cid=300143889	Dream's official	Teacher: Daniel13719473663	Dan18
300143899	https://www.eeo.cn/s/a/?cid=300143899	Dream's official	Teacher: Daniel13719473663	Dan19
300143905	https://www.eeo.cn/s/a/?cid=300143905	杨金陈的在线课堂	Teacher: 12391429*****.com	周六上午志趣班交作业
300143909	https://www.eeo.cn/s/a/?cid=300143909	Dream's official	Teacher: Daniel13719473663	Dan20
300143913	https://www.eeo.cn/s/a/?cid=300143913	Dream's official	Teacher: Daniel13719473663	Dan21
300143917	https://www.eeo.cn/s/a/?cid=300143917	Karol的在线课堂	Teacher: 188****5186	Kkarol
300143919	https://www.eeo.cn/s/a/?cid=300143919	杨晗的在线课堂	Teacher: 180****3387	26春3C宏志A+
300143923	https://www.eeo.cn/s/a/?cid=300143923	杨金陈的在线课堂	Teacher: 12391429*****.com	周六下午宏志班交作业
300143927	https://www.eeo.cn/s/a/?cid=300143927	Dream's official	Teacher: Daniel13719473663	Dan22
300143933	https://www.eeo.cn/s/a/?cid=300143933	Dream's official	Teacher: Daniel13719473663	Dan23
300143935	https://www.eeo.cn/s/a/?cid=300143935	STEM蒸汽教育	Teacher: 189****7943	崔彦丰PST_marc老师PST
300143937	https://www.eeo.cn/s/a/?cid=300143937	金马镇中心小学三（4）班王永清的在线课堂	Teacher: 139****7830	泸西县金马镇中心小学三（4）班
300143947	https://www.eeo.cn/s/a/?cid=300143947	Dream's official	Teacher: Daniel13719473663	Dan24
300143951	https://www.eeo.cn/s/a/?cid=300143951	杨晗的在线课堂	Teacher: 180****3387	26春3D志趣A+
300143953	https://www.eeo.cn/s/a/?cid=300143953	聚的在线课堂	Teacher: 187****5973	贵州专升本数学系统课
300143955	https://www.eeo.cn/s/a/?cid=300143955	Dream's official	Teacher: Daniel13719473663	Dan25
300143963	https://www.eeo.cn/s/a/?cid=300143963	13287855884的在线课堂	Teacher: 132****5884	周五晚三年级志趣A+
300143965	https://www.eeo.cn/s/a/?cid=300143965	Dream's official	Teacher: Daniel13719473663	Dan26
300143971	https://www.eeo.cn/s/a/?cid=300143971	13287855884的在线课堂	Teacher: 132****5884	无
300143973	https://www.eeo.cn/s/a/?cid=300143973	杨金陈的在线课堂	Teacher: 12391429*****.com	无
300143975	https://www.eeo.cn/s/a/?cid=300143975	James F Black	Teacher: 965****832	Cynthia7BJ 7pm 11th March 2026
300143987	https://www.eeo.cn/s/a/?cid=300143987	杨金陈的在线课堂	Teacher: 12391429*****.com	周日中午志趣班交作业
300143991	https://www.eeo.cn/s/a/?cid=300143991	Teachel Maricel	Teacher: 949****565	HELEN11
300143997	https://www.eeo.cn/s/a/?cid=300143997	杨金陈的在线课堂	Teacher: 12391429*****.com	周日下午宏志班交作业
300144009	https://www.eeo.cn/s/a/?cid=300144009	谷呵呵的在线课堂	Teacher: 39*****com	洋白
300144017	https://www.eeo.cn/s/a/?cid=300144017	北京市东城区史家胡同小学	Teacher: 王佳	CV
300144035	https://www.eeo.cn/s/a/?cid=300144035	Teachel Maricel	Teacher: 949****565	SUSAN8
300144039	https://www.eeo.cn/s/a/?cid=300144039	庄芳瑶的在线课堂	Teacher: 176****5659	语文课
300144055	https://www.eeo.cn/s/a/?cid=300144055	Dream's official	Teacher: Daniel13719473663	Dan27
300144057	https://www.eeo.cn/s/a/?cid=300144057	行云的在线课堂	Teacher: 135****6842	明德小学多媒体班
300144061	https://www.eeo.cn/s/a/?cid=300144061	Dream's official	Teacher: Daniel13719473663	Dan28
300144065	https://www.eeo.cn/s/a/?cid=300144065	Sino-bus	Teacher: 张荣霞	數學試聼課HK -K3-寶貝
300144075	https://www.eeo.cn/s/a/?cid=300144075	Dream's official	Teacher: Daniel13719473663	Dan29
300144091	https://www.eeo.cn/s/a/?cid=300144091	Dream's official	Teacher: Daniel13719473663	Dan30
300144099	https://www.eeo.cn/s/a/?cid=300144099	ababasheilama*****ail.co online classroom	Teacher: ab*****il.com	class1
300144101	https://www.eeo.cn/s/a/?cid=300144101	James F Black	Teacher: 965****832	Mikaela12&Miranda10沈阳 7.30pm 11th March 2026
300144105	https://www.eeo.cn/s/a/?cid=300144105	clarizgamayon*****ail.co online classroom	Teacher: clarizgamayon*****ail.co	Trial Class
300144113	https://www.eeo.cn/s/a/?cid=300144113	实习项目组	Teacher: 教务-小杜老师	石齐-市场咨询-Tina老师
300144121	https://www.eeo.cn/s/a/?cid=300144121	Teachel Maricel	Teacher: 949****565	HANA11Z
300144141	https://www.eeo.cn/s/a/?cid=300144141	勤福科技	Teacher: EE0983班主任	Lydia——EE0983
300144157	https://www.eeo.cn/s/a/?cid=300144157	Skylark English	Teacher: Skylark 01	LB1-11-37
300144163	https://www.eeo.cn/s/a/?cid=300144163	Sino-bus	Teacher: 顾问-陈学韵	中一試聽課HK-陶陶-S1
300144165	https://www.eeo.cn/s/a/?cid=300144165	勤福科技	Teacher: EE0983班主任	龙龙——EE0983
300144181	https://www.eeo.cn/s/a/?cid=300144181	勤福科技	Teacher: EE0983班主任	Jonathan——EE0983
300144191	https://www.eeo.cn/s/a/?cid=300144191	Danny1081的在线课堂	Teacher: 138****1081	赛勒RC workgroup工作群
300144193	https://www.eeo.cn/s/a/?cid=300144193	勤福科技	Teacher: EE0983班主任	Brian——EE0983
300144197	https://www.eeo.cn/s/a/?cid=300144197	Imad Khan的在线课堂	Teacher: 198****2675	Practice class!
300144207	https://www.eeo.cn/s/a/?cid=300144207	勤福科技	Teacher: EE0983班主任	Sanna——EE0983
300144209	https://www.eeo.cn/s/a/?cid=300144209	James F Black	Teacher: 965****832	Jason10dl 8pm 11th March 2026
300144215	https://www.eeo.cn/s/a/?cid=300144215	Grace Yang的在线课堂	Teacher: 186****8618	anna课堂
300144219	https://www.eeo.cn/s/a/?cid=300144219	勤福科技	Teacher: EE0983班主任	Timmy——EE0983
300144221	https://www.eeo.cn/s/a/?cid=300144221	SNZ华阳老师的在线课堂	Teacher: 132****7603	华阳班春季四年级1C志趣班
300144231	https://www.eeo.cn/s/a/?cid=300144231	在线教育	Teacher: 357王亚珠	赛勒RC classroom班级群
300144263	https://www.eeo.cn/s/a/?cid=300144263	谢明的在线课堂	Teacher: 159****8937	Youknowho
300144271	https://www.eeo.cn/s/a/?cid=300144271	华珠博雅书院	Teacher: 钟觅	雅思听口—25级6班
300144305	https://www.eeo.cn/s/a/?cid=300144305	王佳缘的在线课堂	Teacher: 185****0876	小灶19：00
300144321	https://www.eeo.cn/s/a/?cid=300144321	王佳缘的在线课堂	Teacher: 185****0876	小灶19：20
300144323	https://www.eeo.cn/s/a/?cid=300144323	James F Black	Teacher: 965****832	Oli7&Amy5cc 8.30pm 11th March 2026
300144339	https://www.eeo.cn/s/a/?cid=300144339	王佳缘的在线课堂	Teacher: 185****0876	小灶19点40
300144341	https://www.eeo.cn/s/a/?cid=300144341	王宇琪的在线课堂	Teacher: 134****5862	6666688
300144351	https://www.eeo.cn/s/a/?cid=300144351	数学屈老师的在线课堂	Teacher: 135****7109	春季6年级第一讲
300144363	https://www.eeo.cn/s/a/?cid=300144363	王佳缘的在线课堂	Teacher: 185****0876	小灶20：00
300144371	https://www.eeo.cn/s/a/?cid=300144371	新加坡芳草园华文学习中心	Teacher: 燕子老师	S2T1L9私人电邮+报章阅读
300144373	https://www.eeo.cn/s/a/?cid=300144373	王佳缘的在线课堂	Teacher: 185****0876	小灶20：20
300144403	https://www.eeo.cn/s/a/?cid=300144403	重庆两江新区行远小学校	Teacher: 刘思廷	行远未来课堂
300144471	https://www.eeo.cn/s/a/?cid=300144471	James F Black	Teacher: 965****832	Flora10NJ 9pm 11th March 2026
300144475	https://www.eeo.cn/s/a/?cid=300144475	Class In	Teacher: 学管Dipsy	H20260309087KTOD_1【R语言】
300144481	https://www.eeo.cn/s/a/?cid=300144481	吴晗的在线课堂	Teacher: 130****3508	1111
300144547	https://www.eeo.cn/s/a/?cid=300144547	Mary Joy Lapinig online classroom	Teacher: ma*****il.com	Teacher Mary Demo @8 pm
300144549	https://www.eeo.cn/s/a/?cid=300144549	单词面包	Teacher: 代家艳	【皓晨】单词面包1v1线上训练室
300144551	https://www.eeo.cn/s/a/?cid=300144551	卓佳的在线课堂	Teacher: 186****3622	11
300144625	https://www.eeo.cn/s/a/?cid=300144625	单词面包	Teacher: 袁文磊	【李怡然】单词面包1V1线上训练室
300144631	https://www.eeo.cn/s/a/?cid=300144631	James F Black	Teacher: 965****832	Jelly10JS 9.30pm 11th March 2026
300144657	https://www.eeo.cn/s/a/?cid=300144657	18810761807的在线课堂	Teacher: 188****1807	1
300144705	https://www.eeo.cn/s/a/?cid=300144705	EEO-TEST-LEE	Teacher: 李耀奇	【未来教育集团】各分校沟通
300144751	https://www.eeo.cn/s/a/?cid=300144751	Serin的在线课堂	Teacher: 153****9323	11
300144757	https://www.eeo.cn/s/a/?cid=300144757	James F Black	Teacher: 965****832	Lucas6gz 10pm 11th March 2026
300144767	https://www.eeo.cn/s/a/?cid=300144767	#Blabla英语	Teacher: 151****9351	苏易简yijian#Blabla英语
300144775	https://www.eeo.cn/s/a/?cid=300144775	Teachel Maricel	Teacher: 949****565	COCO
300144789	https://www.eeo.cn/s/a/?cid=300144789	Edukasyon	Teacher: Edge Admin	FT Level 1 Unit 5 Lesson 1 Let's play-Cheng LL
300144803	https://www.eeo.cn/s/a/?cid=300144803	郭老师的在线课堂	Teacher: 136****2165	1
300145013	https://www.eeo.cn/s/a/?cid=300145013	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_1_20260310103024
300145015	https://www.eeo.cn/s/a/?cid=300145015	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_2_20260310103024
300145017	https://www.eeo.cn/s/a/?cid=300145017	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_3_20260310103025
300145023	https://www.eeo.cn/s/a/?cid=300145023	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_4_20260310103027
300145031	https://www.eeo.cn/s/a/?cid=300145031	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_5_20260310103030
300145041	https://www.eeo.cn/s/a/?cid=300145041	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_6_20260310103038
300145049	https://www.eeo.cn/s/a/?cid=300145049	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_7_20260310103042
300145061	https://www.eeo.cn/s/a/?cid=300145061	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_8_20260310103046
300145075	https://www.eeo.cn/s/a/?cid=300145075	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_9_20260310103056
300145085	https://www.eeo.cn/s/a/?cid=300145085	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_10_20260310103101
300145093	https://www.eeo.cn/s/a/?cid=300145093	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_11_20260310103107
300145097	https://www.eeo.cn/s/a/?cid=300145097	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_12_20260310103111
300145103	https://www.eeo.cn/s/a/?cid=300145103	北京市昌平区成人教育中心	Teacher: 郑秀丽	26春思想道德与法治
300145125	https://www.eeo.cn/s/a/?cid=300145125	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_13_20260310103119
300145127	https://www.eeo.cn/s/a/?cid=300145127	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_14_20260310103126
300145135	https://www.eeo.cn/s/a/?cid=300145135	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_15_20260310103135
300145139	https://www.eeo.cn/s/a/?cid=300145139	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_16_20260310103143
300145143	https://www.eeo.cn/s/a/?cid=300145143	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_17_20260310103147
300145145	https://www.eeo.cn/s/a/?cid=300145145	晓夏老师 online classroom	Teacher: 966****948	佳佳~英语万正扬老师对接群
300145147	https://www.eeo.cn/s/a/?cid=300145147	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_18_20260310103154
300145149	https://www.eeo.cn/s/a/?cid=300145149	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_19_20260310103154
300145151	https://www.eeo.cn/s/a/?cid=300145151	Rachel的在线课堂	Teacher: 190****0803	Rachel的课堂
300145153	https://www.eeo.cn/s/a/?cid=300145153	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_20_20260310103157
300145155	https://www.eeo.cn/s/a/?cid=300145155	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_21_20260310103159
300145157	https://www.eeo.cn/s/a/?cid=300145157	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_22_20260310103200
300145165	https://www.eeo.cn/s/a/?cid=300145165	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_23_20260310103201
300145169	https://www.eeo.cn/s/a/?cid=300145169	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_24_20260310103204
300145171	https://www.eeo.cn/s/a/?cid=300145171	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_25_20260310103204
300145173	https://www.eeo.cn/s/a/?cid=300145173	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_26_20260310103205
300145179	https://www.eeo.cn/s/a/?cid=300145179	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_27_20260310103211
300145181	https://www.eeo.cn/s/a/?cid=300145181	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_28_20260310103212
300145183	https://www.eeo.cn/s/a/?cid=300145183	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_29_20260310103213
300145185	https://www.eeo.cn/s/a/?cid=300145185	trantrucanh12*****ail.co online classroom	Teacher: trantrucanh12*****ail.co	CLASS DIỆU ANH
300145187	https://www.eeo.cn/s/a/?cid=300145187	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_30_20260310103217
300145193	https://www.eeo.cn/s/a/?cid=300145193	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_31_20260310103222
300145195	https://www.eeo.cn/s/a/?cid=300145195	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_32_20260310103223
300145199	https://www.eeo.cn/s/a/?cid=300145199	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_33_20260310103225
300145203	https://www.eeo.cn/s/a/?cid=300145203	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_34_20260310103226
300145205	https://www.eeo.cn/s/a/?cid=300145205	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_35_20260310103227
300145207	https://www.eeo.cn/s/a/?cid=300145207	Happy planet	Teacher: jean-704-M15	Jasper8上海 - Teacher Jean Class
300145209	https://www.eeo.cn/s/a/?cid=300145209	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_36_20260310103229
300145225	https://www.eeo.cn/s/a/?cid=300145225	EEO-TEST-刘星	Teacher: 刘星	无
300145227	https://www.eeo.cn/s/a/?cid=300145227	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_37_20260310103232
300145229	https://www.eeo.cn/s/a/?cid=300145229	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_38_20260310103236
300145231	https://www.eeo.cn/s/a/?cid=300145231	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_39_20260310103237
300145237	https://www.eeo.cn/s/a/?cid=300145237	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_41_20260310103238
300145241	https://www.eeo.cn/s/a/?cid=300145241	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_42_20260310103238
300145247	https://www.eeo.cn/s/a/?cid=300145247	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_43_20260310103239
300145251	https://www.eeo.cn/s/a/?cid=300145251	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_44_20260310103242
300145255	https://www.eeo.cn/s/a/?cid=300145255	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_45_20260310103244
300145257	https://www.eeo.cn/s/a/?cid=300145257	landerojerome*****ail.co online classroom	Teacher: la*****il.com	Lingostar Demo (Jellian Marie Landero)
300145259	https://www.eeo.cn/s/a/?cid=300145259	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_46_20260310103245
300145261	https://www.eeo.cn/s/a/?cid=300145261	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_47_20260310103245
300145263	https://www.eeo.cn/s/a/?cid=300145263	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_48_20260310103246
300145269	https://www.eeo.cn/s/a/?cid=300145269	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_50_20260310103247
300145271	https://www.eeo.cn/s/a/?cid=300145271	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_51_20260310103248
300145275	https://www.eeo.cn/s/a/?cid=300145275	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_52_20260310103249
300145277	https://www.eeo.cn/s/a/?cid=300145277	蔡老师的在线课堂	Teacher: 182****9918	刘怀老师培训
300145281	https://www.eeo.cn/s/a/?cid=300145281	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_53_20260310103251
300145285	https://www.eeo.cn/s/a/?cid=300145285	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_54_20260310103252
300145287	https://www.eeo.cn/s/a/?cid=300145287	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_55_20260310103254
300145289	https://www.eeo.cn/s/a/?cid=300145289	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_56_20260310103254
300145291	https://www.eeo.cn/s/a/?cid=300145291	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_57_20260310103255
300145295	https://www.eeo.cn/s/a/?cid=300145295	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_58_20260310103257
300145297	https://www.eeo.cn/s/a/?cid=300145297	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_59_20260310103258
300145301	https://www.eeo.cn/s/a/?cid=300145301	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_60_20260310103259
300145303	https://www.eeo.cn/s/a/?cid=300145303	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_61_20260310103259
300145305	https://www.eeo.cn/s/a/?cid=300145305	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_62_20260310103301
300145307	https://www.eeo.cn/s/a/?cid=300145307	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_63_20260310103301
300145309	https://www.eeo.cn/s/a/?cid=300145309	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_64_20260310103304
300145311	https://www.eeo.cn/s/a/?cid=300145311	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_65_20260310103304
300145315	https://www.eeo.cn/s/a/?cid=300145315	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_66_20260310103305
300145317	https://www.eeo.cn/s/a/?cid=300145317	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_67_20260310103306
300145319	https://www.eeo.cn/s/a/?cid=300145319	好123	Teacher: 152****2509	Jasmine湖北98号老师
300145321	https://www.eeo.cn/s/a/?cid=300145321	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_68_20260310103306
300145325	https://www.eeo.cn/s/a/?cid=300145325	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_69_20260310103307
300145327	https://www.eeo.cn/s/a/?cid=300145327	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_70_20260310103311
300145329	https://www.eeo.cn/s/a/?cid=300145329	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_71_20260310103312
300145331	https://www.eeo.cn/s/a/?cid=300145331	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_72_20260310103312
300145335	https://www.eeo.cn/s/a/?cid=300145335	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_73_20260310103313
300145339	https://www.eeo.cn/s/a/?cid=300145339	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_74_20260310103314
300145341	https://www.eeo.cn/s/a/?cid=300145341	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_75_20260310103314
300145345	https://www.eeo.cn/s/a/?cid=300145345	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_76_20260310103315
300145347	https://www.eeo.cn/s/a/?cid=300145347	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_77_20260310103315
300145349	https://www.eeo.cn/s/a/?cid=300145349	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_78_20260310103316
300145355	https://www.eeo.cn/s/a/?cid=300145355	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_79_20260310103317
300145359	https://www.eeo.cn/s/a/?cid=300145359	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_80_20260310103323
300145361	https://www.eeo.cn/s/a/?cid=300145361	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_81_20260310103324
300145365	https://www.eeo.cn/s/a/?cid=300145365	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_82_20260310103324
300145367	https://www.eeo.cn/s/a/?cid=300145367	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_83_20260310103325
300145371	https://www.eeo.cn/s/a/?cid=300145371	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_84_20260310103325
300145373	https://www.eeo.cn/s/a/?cid=300145373	上海青浦区协和双语学校	Teacher: 青浦协和双语	青龙剧院
300145375	https://www.eeo.cn/s/a/?cid=300145375	EEO-TEST-张有福	Teacher: 121****3501	无
300145377	https://www.eeo.cn/s/a/?cid=300145377	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_86_20260310103327
300145379	https://www.eeo.cn/s/a/?cid=300145379	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_87_20260310103327
300145381	https://www.eeo.cn/s/a/?cid=300145381	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_88_20260310103328
300145387	https://www.eeo.cn/s/a/?cid=300145387	非凡互动营（I talk）	Teacher: 非凡headteacher课堂问题@我！	貔貅-120185 Anna曼妮 班长：西瓜的一对一
300145389	https://www.eeo.cn/s/a/?cid=300145389	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_89_20260310103328
300145393	https://www.eeo.cn/s/a/?cid=300145393	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_90_20260310103331
300145395	https://www.eeo.cn/s/a/?cid=300145395	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_91_20260310103333
300145397	https://www.eeo.cn/s/a/?cid=300145397	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_92_20260310103333
300145399	https://www.eeo.cn/s/a/?cid=300145399	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_93_20260310103334
300145401	https://www.eeo.cn/s/a/?cid=300145401	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_94_20260310103334
300145403	https://www.eeo.cn/s/a/?cid=300145403	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_95_20260310103335
300145407	https://www.eeo.cn/s/a/?cid=300145407	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_96_20260310103335
300145409	https://www.eeo.cn/s/a/?cid=300145409	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_97_20260310103336
300145411	https://www.eeo.cn/s/a/?cid=300145411	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_98_20260310103337
300145417	https://www.eeo.cn/s/a/?cid=300145417	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_99_20260310103339
300145423	https://www.eeo.cn/s/a/?cid=300145423	EEO-TEST-张有福	Teacher: 121****3501	构造数据班级_100_20260310103343
300145443	https://www.eeo.cn/s/a/?cid=300145443	VOYAGE	Teacher: Ulrika	朱雨音 First Class 20课时
300145465	https://www.eeo.cn/s/a/?cid=300145465	Diana online classroom	Teacher: 975****608	CLASS IN Test
300145475	https://www.eeo.cn/s/a/?cid=300145475	贝思语言中心	Teacher: Nancy	线下周二19:00
300145477	https://www.eeo.cn/s/a/?cid=300145477	潘的在线课堂	Teacher: 181****0397	试试
